match_id,radiant_win
0,TRUE
1,FALSE
2,FALSE
3,FALSE
4,TRUE
5,TRUE
6,TRUE
7,TRUE
8,FALSE
9,FALSE
10,TRUE
11,FALSE
12,FALSE
13,TRUE
14,TRUE
15,FALSE
16,FALSE
17,TRUE
18,FALSE
19,TRUE
20,TRUE
21,TRUE
22,TRUE
23,TRUE
24,FALSE
25,TRUE
26,TRUE
27,FALSE
28,TRUE
29,FALSE
30,TRUE
31,FALSE
32,TRUE
33,FALSE
34,TRUE
35,FALSE
36,TRUE
37,TRUE
38,FALSE
39,FALSE
40,FALSE
41,TRUE
42,TRUE
43,FALSE
44,TRUE
45,TRUE
46,FALSE
47,TRUE
48,TRUE
49,TRUE
50,FALSE
51,FALSE
52,FALSE
53,FALSE
54,TRUE
55,TRUE
56,TRUE
57,FALSE
58,FALSE
59,FALSE
60,FALSE
61,TRUE
62,TRUE
63,FALSE
64,TRUE
65,TRUE
66,TRUE
67,TRUE
68,TRUE
69,TRUE
70,TRUE
71,FALSE
72,TRUE
73,FALSE
74,TRUE
75,FALSE
76,TRUE
77,TRUE
78,FALSE
79,TRUE
80,TRUE
81,TRUE
82,FALSE
83,FALSE
84,TRUE
85,TRUE
86,TRUE
87,TRUE
88,TRUE
89,FALSE
90,FALSE
91,FALSE
92,FALSE
93,FALSE
94,FALSE
95,FALSE
96,TRUE
97,TRUE
98,FALSE
99,TRUE
100,FALSE
101,FALSE
102,TRUE
103,TRUE
104,FALSE
105,TRUE
106,TRUE
107,FALSE
108,FALSE
109,TRUE
110,FALSE
111,FALSE
112,TRUE
113,FALSE
114,TRUE
115,TRUE
116,FALSE
117,TRUE
118,FALSE
119,TRUE
120,FALSE
121,FALSE
122,FALSE
123,FALSE
124,TRUE
125,FALSE
126,FALSE
127,FALSE
128,FALSE
129,FALSE
130,TRUE
131,TRUE
132,FALSE
133,FALSE
134,TRUE
135,FALSE
136,TRUE
137,TRUE
138,FALSE
139,TRUE
140,TRUE
141,FALSE
142,FALSE
143,FALSE
144,FALSE
145,FALSE
146,TRUE
147,FALSE
148,TRUE
149,TRUE
150,TRUE
151,FALSE
152,FALSE
153,TRUE
154,TRUE
155,TRUE
156,FALSE
157,FALSE
158,FALSE
159,TRUE
160,TRUE
161,FALSE
162,TRUE
163,FALSE
164,FALSE
165,FALSE
166,FALSE
167,FALSE
168,FALSE
169,TRUE
170,TRUE
171,TRUE
172,TRUE
173,TRUE
174,TRUE
175,FALSE
176,FALSE
177,TRUE
178,FALSE
179,TRUE
180,FALSE
181,TRUE
182,TRUE
183,TRUE
184,FALSE
185,FALSE
186,FALSE
187,FALSE
188,TRUE
189,FALSE
190,FALSE
191,TRUE
192,FALSE
193,FALSE
194,FALSE
195,FALSE
196,TRUE
197,FALSE
198,TRUE
199,TRUE
200,FALSE
201,FALSE
202,TRUE
203,TRUE
204,TRUE
205,TRUE
206,TRUE
207,TRUE
208,TRUE
209,FALSE
210,FALSE
211,FALSE
212,FALSE
213,TRUE
214,TRUE
215,TRUE
216,FALSE
